"dewpti","hum","pressurei","tempm","wdird","wspdm","Value","wday","mday","nminus1Val","nminus2Val","nminus3Val","nminus4Val","nminus5Val"
30.2,70,30.09,4,350,10.8,156,6,4,179,163,150,163,152
32,66,30.09,6,290,14.4,127,6,4,156,179,163,150,163
32,61,30.12,7,310,10.8,128,6,4,127,156,179,163,150
32,50,30.15,10,330,14.4,115,6,4,128,127,156,179,163
32,38,30.15,14,320,14.4,97,6,4,115,128,127,156,179
32,34,30.18,16,330,14.4,69,6,4,97,115,128,127,156
30.2,30,30.18,17,300,7.2,65,6,4,69,97,115,128,127
30.2,26,30.15,19,320,14.4,65,6,4,65,69,97,115,128
28.4,24,30.12,19,320,14.4,62,6,4,65,65,69,97,115
28.4,24,30.09,19,340,14.4,69,6,4,62,65,65,69,97
30.2,24,30.06,20,340,10.8,74,6,4,69,62,65,65,69
28.4,23,30.06,20,360,10.8,68,6,4,74,69,62,65,65
28.4,23,30.06,20,350,14.4,70,6,4,68,74,69,62,65
30.2,28,30.06,18,340,7.2,74,6,4,70,68,74,69,62
30.2,31,30.06,16,340,7.2,81,6,4,74,70,68,74,69
32,38,30.12,14,340,7.2,92,6,4,81,74,70,68,74
33.8,50,30.12,11,340,3.6,104,6,4,92,81,74,70,68
32,41,30.15,13,340,3.6,123,6,4,104,92,81,74,70
32,41,30.18,13,340,7.2,130,6,4,123,104,92,81,74
33.8,58,30.18,9,320,3.6,130,0,5,130,123,104,92,81
33.8,58,30.18,9,350,3.6,142,0,5,130,130,123,104,92
35.6,66,30.15,8,350,3.6,145,0,5,142,130,130,123,104
35.6,76,30.15,6,340,7.2,92,0,5,145,142,130,130,123
33.8,70,30.15,6,360,3.6,79,0,5,92,145,142,130,130
33.8,76,30.15,5,350,3.6,56,0,5,79,92,145,142,130
30.2,81,30.15,2,290,7.2,61,0,5,56,79,92,145,142
37.4,81,30.18,6,310,3.6,31,0,5,61,56,79,92,145
26.6,35,30.18,12,330,7.2,33,0,5,31,61,56,79,92
21.2,23,30.18,15,320,14.4,17,0,5,33,31,61,56,79
15.8,14,30.15,19,330,25.2,18,0,5,17,33,31,61,56
19.4,17,30.15,19,300,14.4,17,0,5,18,17,33,31,61
17.6,15,30.12,20,320,10.8,15,0,5,17,18,17,33,31
19.4,15,30.09,21,320,14.4,16,0,5,15,17,18,17,33
15.8,12,30.04,22,340,25.2,15,0,5,16,15,17,18,17
17.6,12,30.01,23,340,25.2,16,0,5,15,16,15,17,18
14,10,30.01,23,360,28.8,19,0,5,16,15,16,15,17
14,10,29.98,23,350,25.2,16,0,5,19,16,15,16,15
10.4,9,29.98,22,340,25.2,10,0,5,16,19,16,15,16
10.4,10,30.01,21,340,14.4,27,0,5,10,16,19,16,15
12.2,12,30.01,19,340,10.8,25,0,5,27,10,16,19,16
12.2,12,30.04,19,340,14.4,17,0,5,25,27,10,16,19
12.2,15,30.04,16,340,7.2,14,0,5,17,25,27,10,16
12.2,14,30.04,17,340,3.6,18,0,5,14,17,25,27,10
15.8,19,30.01,15,320,3.6,31,1,6,18,14,17,25,27
30.2,47,30.01,10,350,3.6,34,1,6,31,18,14,17,25
15.8,21,30.01,13,360,3.6,49,1,6,34,31,18,14,17
26.6,43,29.98,9,350,0,47,1,6,49,34,31,18,14
23,43,29.98,7,340,3.6,38,1,6,47,49,34,31,18
30.2,61,29.95,6,320,3.6,48,1,6,38,47,49,34,31
28.4,61,29.98,5,340,3.6,69,1,6,48,38,47,49,34
24.8,46,29.98,7,300,7.2,64,1,6,69,48,38,47,49
21.2,26,29.98,13,320,10.8,26,1,6,64,69,48,38,47
19.4,19,29.98,17,330,7.2,14,1,6,26,64,69,48,38
15.8,13,29.95,21,340,7.2,18,1,6,14,26,64,69,48
15.8,11,29.95,23,300,14.4,15,1,6,18,14,26,64,69
12.2,9,29.89,25,290,18,21,1,6,15,18,14,26,64
10.4,7,29.86,27,330,25.2,27,1,6,21,15,18,14,26
8.6,6,29.83,27,340,28.8,23,1,6,27,21,15,18,14
15.8,11,29.8,23,340,28.8,30,1,6,23,27,21,15,18
17.6,13,29.8,22,340,21.6,37,1,6,30,23,27,21,15
28.4,36,29.86,13,340,3.6,73,2,7,37,30,23,27,21
28.4,38,29.89,12,320,7.2,87,2,7,73,37,30,23,27
26.6,35,29.89,12,340,3.6,99,2,7,87,73,37,30,23
28.4,38,29.95,12,300,10.8,122,2,7,99,87,73,37,30
26.6,29,29.95,15,320,3.6,125,2,7,122,99,87,73,37
24.8,22,29.95,18,330,3.6,132,2,7,125,122,99,87,73
26.6,21,29.95,20,340,7.2,141,2,7,132,125,122,99,87
30.2,22,29.95,22,300,10.8,136,2,7,141,132,125,122,99
28.4,18,29.92,24,290,10.8,120,2,7,136,141,132,125,122
30.2,18,29.92,25,330,14.4,111,2,7,120,136,141,132,125
30.2,31,29.95,16,340,3.6,195,2,7,111,120,136,141,132
35.6,42,29.95,15,340,7.2,215,2,7,195,111,120,136,141
33.8,39,29.95,15,320,7.2,225,3,8,215,195,111,120,136
35.6,42,29.98,15,350,3.6,229,3,8,225,215,195,111,120
37.4,54,30.01,12,350,3.6,225,3,8,229,225,215,195,111
35.6,51,30.01,12,340,3.6,239,3,8,225,229,225,215,195
35.6,51,30.04,12,360,3.6,229,3,8,239,225,229,225,215
35.6,62,30.04,9,350,7.2,196,3,8,229,239,225,229,225
37.4,66,30.06,9,290,3.6,200,3,8,196,229,239,225,229
37.4,62,30.09,10,310,3.6,196,3,8,200,196,229,239,225
41,51,30.09,15,320,3.6,200,3,8,196,200,196,229,239
41,42,30.12,18,330,3.6,191,3,8,200,196,200,196,229
39.2,37,30.12,19,340,3.6,195,3,8,191,200,196,200,196
41,33,30.12,22,300,7.2,206,3,8,195,191,200,196,200
39.2,27,30.09,24,290,10.8,100,3,8,206,195,191,200,196
32,17,30.06,27,330,18,78,3,8,100,206,195,191,200
32,17,30.04,27,340,18,80,3,8,78,100,206,195,191
32,17,30.04,27,340,21.6,74,3,8,80,78,100,206,195
42.8,59,30.09,14,340,0,112,3,8,74,80,78,100,206
41,55,30.09,14,320,7.2,133,4,9,112,74,80,78,100
41,48,30.09,16,350,7.2,134,4,9,133,112,74,80,78
41,51,30.09,15,350,7.2,127,4,9,134,133,112,74,80
41,58,30.09,13,340,7.2,131,4,9,127,134,133,112,74
41,55,30.09,14,360,10.8,137,4,9,131,127,134,133,112
41,62,30.09,12,350,7.2,127,4,9,137,131,127,134,133
39.2,66,30.09,10,290,7.2,128,4,9,127,137,131,127,134
42.8,71,30.09,11,310,3.6,142,4,9,128,127,137,131,127
41,48,30.12,16,330,3.6,143,4,9,142,128,127,137,131
41,40,30.12,19,320,3.6,141,4,9,143,142,128,127,137
41,33,30.12,22,330,7.2,146,4,9,141,143,142,128,127
42.8,31,30.09,24,300,14.4,108,4,9,146,141,143,142,128
41,26,30.06,26,320,25.2,96,4,9,108,146,141,143,142
39.2,24,30.04,26,320,28.8,94,4,9,96,108,146,141,143
39.2,24,30.01,26,340,28.8,79,4,9,94,96,108,146,141
35.6,21,30.01,26,340,25.2,74,4,9,79,94,96,108,146
39.2,24,29.98,26,360,21.6,68,4,9,74,79,94,96,108
37.4,23,29.98,26,350,25.2,67,4,9,68,74,79,94,96
37.4,25,29.98,24,340,21.6,67,4,9,67,68,74,79,94
37.4,29,29.98,22,340,14.4,79,4,9,67,67,68,74,79
37.4,31,30.01,21,340,10.8,79,4,9,79,67,67,68,74
33.8,27,30.01,21,340,18,68,4,9,79,79,67,67,68
33.8,30,30.04,19,340,10.8,70,4,9,68,79,79,67,67
33.8,30,30.04,19,340,7.2,75,4,9,70,68,79,79,67
33.8,32,30.04,18,320,14.4,80,5,10,75,70,68,79,79
35.6,39,30.01,16,350,7.2,87,5,10,80,75,70,68,79
35.6,42,30.01,15,350,7.2,99,5,10,87,80,75,70,68
35.6,44,29.98,14,340,10.8,113,5,10,99,87,80,75,70
37.4,48,29.98,14,360,10.8,110,5,10,113,99,87,80,75
37.4,51,30.01,13,350,10.8,107,5,10,110,113,99,87,80
37.4,51,30.01,13,290,7.2,114,5,10,107,110,113,99,87
39.2,51,30.04,14,310,10.8,113,5,10,114,107,110,113,99
39.2,42,30.04,17,330,10.8,123,5,10,113,114,107,110,113
39.2,40,30.04,18,320,10.8,104,5,10,123,113,114,107,110
37.4,31,30.04,21,330,18,105,5,10,104,123,113,114,107
35.6,27,30.04,22,300,28.8,107,5,10,105,104,123,113,114
37.4,27,30.01,23,320,25.2,119,5,10,107,105,104,123,113
37.4,27,29.98,23,320,21.6,112,5,10,119,107,105,104,123
37.4,25,29.95,24,340,21.6,121,5,10,112,119,107,105,104
35.6,24,29.95,24,340,21.6,115,5,10,121,112,119,107,105
37.4,25,29.92,24,350,25.2,113,5,10,115,121,112,119,107
37.4,27,29.92,23,360,18,126,5,10,113,115,121,112,119
39.2,31,29.92,22,360,14.4,114,5,10,126,113,115,121,112
39.2,33,29.92,21,340,14.4,111,5,10,114,126,113,115,121
37.4,33,29.92,20,340,10.8,117,5,10,111,114,126,113,115
39.2,35,29.95,20,340,7.2,125,5,10,117,111,114,126,113
41,40,29.95,19,340,7.2,138,5,10,125,117,111,114,126
41,40,29.95,19,340,10.8,125,5,10,138,125,117,111,114
42.8,43,29.95,19,320,7.2,132,6,11,125,138,125,117,111
42.8,45,29.92,18,350,10.8,128,6,11,132,125,138,125,117
44.6,49,29.92,18,350,3.6,132,6,11,128,132,125,138,125
50,68,29.92,16,340,10.8,127,6,11,132,128,132,125,138
50,68,29.95,16,360,7.2,121,6,11,127,132,128,132,125
51.8,77,29.92,15,350,3.6,92,6,11,121,127,132,128,132
51.8,77,29.95,15,290,7.2,90,6,11,92,121,127,132,128
51.8,77,29.95,15,310,10.8,94,6,11,90,92,121,127,132
53.6,82,29.98,15,330,3.6,99,6,11,94,90,92,121,127
55.4,88,29.98,15,320,7.2,114,6,11,99,94,90,92,121
55.4,82,30.01,16,330,7.2,130,6,11,114,99,94,90,92
55.4,82,29.98,16,300,7.2,142,6,11,130,114,99,94,90
55.4,77,29.98,17,320,7.2,148,6,11,142,130,114,99,94
55.4,73,29.95,18,320,10.8,154,6,11,148,142,130,114,99
55.4,68,29.95,19,340,10.8,163,6,11,154,148,142,130,114
55.4,68,29.92,19,340,10.8,168,6,11,163,154,148,142,130
53.6,64,29.92,19,360,10.8,164,6,11,168,163,154,148,142
53.6,64,29.92,19,350,10.8,157,6,11,164,168,163,154,148
53.6,68,29.92,18,340,14.4,167,6,11,157,164,168,163,154
53.6,72,29.95,17,340,10.8,162,6,11,167,157,164,168,163
53.6,77,29.98,16,340,10.8,165,6,11,162,167,157,164,168
53.6,77,29.98,16,340,10.8,183,6,11,165,162,167,157,164
53.6,82,30.01,15,340,10.8,185,6,11,183,165,162,167,157
53.6,82,30.01,15,340,7.2,194,6,11,185,183,165,162,167
53.6,82,30.01,15,320,3.6,183,0,12,194,185,183,165,162
51.8,88,29.98,13,350,3.6,195,0,12,183,194,185,183,165
51.8,94,29.95,12,350,3.6,201,0,12,195,183,194,185,183
51.8,94,29.95,12,340,0,209,0,12,201,195,183,194,185
50,94,29.92,11,360,0,213,0,12,209,201,195,183,194
50,94,29.92,11,350,0,215,0,12,213,209,201,195,183
50,94,29.92,11,290,3.6,218,0,12,215,213,209,201,195
51.8,100,29.92,11,310,3.6,235,0,12,218,215,213,209,201
53.6,88,29.92,14,330,0,242,0,12,235,218,215,213,209
53.6,77,29.95,16,320,3.6,243,0,12,242,235,218,215,213
53.6,68,29.92,18,330,3.6,245,0,12,243,242,235,218,215
53.6,64,29.92,19,300,3.6,252,0,12,245,243,242,235,218
53.6,56,29.86,21,320,3.6,255,0,12,252,245,243,242,235
53.6,53,29.86,22,320,7.2,235,0,12,255,252,245,243,242
53.6,50,29.83,23,340,7.2,220,0,12,235,255,252,245,243
53.6,47,29.8,24,340,7.2,225,0,12,220,235,255,252,245
53.6,44,29.77,25,360,10.8,234,0,12,225,220,235,255,252
53.6,47,29.74,24,350,10.8,235,0,12,234,225,220,235,255
53.6,50,29.74,23,340,7.2,223,0,12,235,234,225,220,235
53.6,56,29.74,21,340,7.2,243,0,12,223,235,234,225,220
53.6,60,29.74,20,340,10.8,279,0,12,243,223,235,234,225
53.6,64,29.77,19,340,10.8,261,0,12,279,243,223,235,234
51.8,60,29.77,19,340,7.2,246,0,12,261,279,243,223,235
51.8,64,29.77,18,340,7.2,231,0,12,246,261,279,243,223
51.8,64,29.77,18,320,10.8,226,1,13,231,246,261,279,243
53.6,68,29.71,18,350,14.4,224,1,13,226,231,246,261,279
53.6,68,29.74,18,350,10.8,237,1,13,224,226,231,246,261
53.6,72,29.68,17,340,10.8,248,1,13,237,224,226,231,246
55.4,82,29.71,16,360,10.8,241,1,13,248,237,224,226,231
53.6,82,29.68,15,350,10.8,253,1,13,241,248,237,224,226
53.6,82,29.71,15,290,3.6,258,1,13,253,241,248,237,224
55.4,88,29.71,15,310,3.6,259,1,13,258,253,241,248,237
55.4,82,29.71,16,330,7.2,276,1,13,259,258,253,241,248
57.2,73,29.74,19,320,7.2,275,1,13,276,259,258,253,241
57.2,64,29.74,21,330,10.8,261,1,13,275,276,259,258,253
53.6,47,29.74,24,300,21.6,122,1,13,261,275,276,259,258
48.2,34,29.71,26,320,14.4,101,1,13,122,261,275,276,259
37.4,23,29.71,26,320,18,47,1,13,101,122,261,275,276
33.8,18,29.71,27,340,18,28,1,13,47,101,122,261,275
32,17,29.71,27,340,18,22,1,13,28,47,101,122,261
28.4,15,29.71,27,360,18,24,1,13,22,28,47,101,122
51.8,47,29.74,23,350,28.8,151,1,13,24,22,28,47,101
50,52,29.77,20,340,21.6,95,1,13,151,24,22,28,47
48.2,56,29.83,18,340,21.6,49,1,13,95,151,24,22,28
46.4,59,29.89,16,340,18,42,1,13,49,95,151,24,22
44.6,59,29.92,15,340,10.8,38,1,13,42,49,95,151,24
42.8,55,29.95,15,340,14.4,39,1,13,38,42,49,95,151
41,55,29.95,14,340,10.8,29,1,13,39,38,42,49,95
41,58,29.92,13,320,7.2,46,2,14,29,39,38,42,49
42.8,63,29.92,13,350,7.2,34,2,14,46,29,39,38,42
42.8,63,29.92,13,350,7.2,33,2,14,34,46,29,39,38
39.2,51,29.92,14,340,10.8,31,2,14,33,34,46,29,39
41,58,29.89,13,360,7.2,34,2,14,31,33,34,46,29
39.2,54,29.89,13,320,7.2,33,2,14,34,31,33,34,46
39.2,54,29.89,13,340,10.8,33,2,14,33,34,31,33,34
39.2,54,29.86,13,300,10.8,41,2,14,33,33,34,31,33
39.2,48,29.86,15,310,10.8,44,2,14,41,33,33,34,31
41,48,29.86,16,330,10.8,52,2,14,44,41,33,33,34
39.2,42,29.83,17,320,10.8,44,2,14,52,44,41,33,33
37.4,33,29.8,20,320,18,36,2,14,44,52,44,41,33
35.6,28,29.77,21,300,25.2,27,2,14,36,44,52,44,41
32,23,29.71,22,320,25.2,49,2,14,27,36,44,52,44
35.6,27,29.68,22,330,25.2,57,2,14,49,27,36,44,52
39.2,29,29.62,23,340,25.2,51,2,14,57,49,27,36,44
39.2,31,29.59,22,340,25.2,68,2,14,51,57,49,27,36
41,33,29.59,22,350,18,75,2,14,68,51,57,49,27
42.8,38,29.59,21,350,14.4,78,2,14,75,68,51,57,49
48.2,46,29.59,21,340,10.8,116,2,14,78,75,68,51,57
50,52,29.59,20,340,14.4,137,2,14,116,78,75,68,51
51.8,60,29.62,19,340,7.2,149,2,14,137,116,78,75,68
51.8,68,29.62,17,340,7.2,126,2,14,149,137,116,78,75
51.8,60,29.62,19,340,3.6,127,2,14,126,149,137,116,78
46.4,52,29.62,18,320,10.8,88,3,15,127,126,149,137,116
44.6,52,29.65,17,350,10.8,95,3,15,88,127,126,149,137
35.6,37,29.68,17,350,14.4,52,3,15,95,88,127,126,149
32,41,29.8,13,340,25.2,15,3,15,52,95,88,127,126
35.6,54,29.83,11,360,21.6,11,3,15,15,52,95,88,127
37.4,76,29.92,7,350,32.4,8,3,15,11,15,52,95,88
35.6,71,29.98,7,290,18,6,3,15,8,11,15,52,95
32,57,30.01,8,310,14.4,11,3,15,6,8,11,15,52
30.2,50,30.04,9,330,25.2,15,3,15,11,6,8,11,15
24.8,37,30.06,10,320,18,17,3,15,15,11,6,8,11
21.2,28,30.06,12,330,21.6,17,3,15,17,15,11,6,8
21.2,26,30.06,13,300,14.4,15,3,15,17,17,15,11,6
19.4,23,30.04,14,320,14.4,28,3,15,15,17,17,15,11
17.6,20,30.01,15,320,14.4,17,3,15,28,15,17,17,15
17.6,20,30.01,15,340,10.8,11,3,15,17,28,15,17,17
14,16,29.98,16,340,10.8,8,3,15,11,17,28,15,17
14,16,29.95,16,360,3.6,10,3,15,8,11,17,28,15
12.2,15,29.95,16,350,7.2,25,3,15,10,8,11,17,28
17.6,21,29.95,14,340,7.2,25,3,15,25,10,8,11,17
17.6,23,29.95,13,340,10.8,32,3,15,25,25,10,8,11
26.6,35,29.98,12,340,10.8,31,3,15,32,25,25,10,8
26.6,38,29.98,11,340,7.2,32,3,15,31,32,25,25,10
28.4,41,29.98,11,340,7.2,37,3,15,32,31,32,25,25
32,50,29.98,10,340,7.2,42,3,15,37,32,31,32,25
33.8,58,29.98,9,320,10.8,52,4,16,42,37,32,31,32
35.6,62,30.01,9,350,14.4,61,4,16,52,42,37,32,31
35.6,66,29.98,8,350,10.8,68,4,16,61,52,42,37,32
33.8,66,29.98,7,340,10.8,66,4,16,68,61,52,42,37
33.8,66,29.98,7,360,7.2,69,4,16,66,68,61,52,42
33.8,70,29.98,6,320,3.6,70,4,16,69,66,68,61,52
33.8,70,30.01,6,340,3.6,73,4,16,70,69,66,68,61
35.6,71,30.01,7,300,7.2,87,4,16,73,70,69,66,68
37.4,66,30.01,9,320,3.6,95,4,16,87,73,70,69,66
37.4,54,30.01,12,330,7.2,94,4,16,95,87,73,70,69
37.4,48,29.98,14,340,3.6,111,4,16,94,95,87,73,70
39.2,48,29.98,15,300,7.2,66,4,16,111,94,95,87,73
33.8,34,29.92,17,290,14.4,63,4,16,66,111,94,95,87
32,30,29.89,18,330,14.4,66,4,16,63,66,111,94,95
30.2,26,29.86,19,330,18,62,4,16,66,63,66,111,94
30.2,24,29.83,20,340,18,66,4,16,62,66,63,66,111
30.2,26,29.8,19,340,21.6,50,4,16,66,62,66,63,66
26.6,24,29.8,18,360,21.6,38,4,16,50,66,62,66,63
24.8,24,29.83,17,360,18,48,4,16,38,50,66,62,66
23,25,29.83,15,360,18,56,4,16,48,38,50,66,62
24.8,31,29.86,13,340,10.8,54,4,16,56,48,38,50,66
24.8,31,29.86,13,340,7.2,47,4,16,54,56,48,38,50
28.4,38,29.89,12,340,7.2,55,4,16,47,54,56,48,38
28.4,41,29.89,11,340,7.2,50,4,16,55,47,54,56,48
30.2,47,29.89,10,320,7.2,71,5,17,50,55,47,54,56
30.2,47,29.89,10,350,7.2,72,5,17,71,50,55,47,54
30.2,50,29.86,9,350,7.2,72,5,17,72,71,50,55,47
30.2,50,29.86,9,340,7.2,90,5,17,72,72,71,50,55
30.2,53,29.89,8,360,7.2,96,5,17,90,72,72,71,50
32,57,29.89,8,350,3.6,105,5,17,96,90,72,72,71
32,61,29.89,7,290,3.6,121,5,17,105,96,90,72,72
33.8,58,29.89,9,310,3.6,137,5,17,121,105,96,90,72
35.6,54,29.92,11,330,7.2,133,5,17,137,121,105,96,90
33.8,41,29.89,14,320,7.2,135,5,17,133,137,121,105,96
33.8,36,29.89,16,330,3.6,111,5,17,135,133,137,121,105
32,32,29.89,17,300,7.2,107,5,17,111,135,133,137,121
35.6,32,29.86,19,320,14.4,109,5,17,107,111,135,133,137
37.4,33,29.83,20,320,18,110,5,17,109,107,111,135,133
39.2,33,29.8,21,340,18,125,5,17,110,109,107,111,135
39.2,31,29.77,22,340,14.4,123,5,17,125,110,109,107,111
42.8,35,29.74,22,360,10.8,120,5,17,123,125,110,109,107
41,33,29.71,22,350,21.6,136,5,17,120,123,125,110,109
44.6,40,29.71,21,340,18,126,5,17,136,120,123,125,110
46.4,49,29.74,19,340,7.2,137,5,17,126,136,120,123,125
48.2,59,29.74,17,340,7.2,147,5,17,137,126,136,120,123
50,63,29.77,17,340,7.2,147,5,17,147,137,126,136,120
50,72,29.77,15,340,3.6,152,5,17,147,147,137,126,136
50,72,29.77,15,340,10.8,128,5,17,152,147,147,137,126
50,72,29.77,15,320,7.2,113,6,18,128,152,147,147,137
50,72,29.77,15,350,7.2,95,6,18,113,128,152,147,147
48.2,67,29.77,15,350,7.2,91,6,18,95,113,128,152,147
48.2,67,29.77,15,340,10.8,93,6,18,91,95,113,128,152
48.2,72,29.77,14,360,7.2,95,6,18,93,91,95,113,128
46.4,67,29.8,14,320,7.2,102,6,18,95,93,91,95,113
46.4,72,29.8,13,340,7.2,102,6,18,102,95,93,91,95
46.4,67,29.83,14,300,7.2,93,6,18,102,102,95,93,91
46.4,63,29.83,15,310,7.2,107,6,18,93,102,102,95,93
46.4,59,29.86,16,330,10.8,97,6,18,107,93,102,102,95
46.4,59,29.86,16,320,7.2,116,6,18,97,107,93,102,102
48.2,63,29.86,16,330,10.8,116,6,18,116,97,107,93,102
48.2,59,29.86,17,300,10.8,112,6,18,116,116,97,107,93
50,63,29.86,17,290,7.2,108,6,18,112,116,116,97,107
51.8,64,29.83,18,330,3.6,113,6,18,108,112,116,116,97
51.8,60,29.8,19,330,7.2,133,6,18,113,108,112,116,116
50,56,29.8,19,340,18,125,6,18,133,113,108,112,116
50,59,29.8,18,350,14.4,127,6,18,125,133,113,108,112
50,59,29.8,18,350,7.2,134,6,18,127,125,133,113,108
46.4,52,29.8,18,350,14.4,131,6,18,134,127,125,133,113
42.8,45,29.86,18,340,10.8,100,6,18,131,134,127,125,133
41,45,29.86,17,340,14.4,103,6,18,100,131,134,127,125
39.2,45,29.86,16,340,7.2,102,6,18,103,100,131,134,127
39.2,45,29.89,16,340,10.8,109,6,18,102,103,100,131,134
39.2,45,29.86,16,320,10.8,109,0,19,109,102,103,100,131
44.6,63,29.89,14,350,10.8,112,0,19,109,109,102,103,100
50,88,29.86,12,350,10.8,118,0,19,112,109,109,102,103
50,94,29.83,11,340,7.2,107,0,19,118,112,109,109,102
50,94,29.83,11,360,7.2,105,0,19,107,118,112,109,109
51.8,94,29.83,12,350,10.8,79,0,19,105,107,118,112,109
51.8,94,29.83,12,290,7.2,86,0,19,79,105,107,118,112
51.8,94,29.86,12,310,7.2,82,0,19,86,79,105,107,118
51.8,94,29.86,12,330,7.2,84,0,19,82,86,79,105,107
50,88,29.89,12,320,3.6,90,0,19,84,82,86,79,105
51.8,94,29.89,12,330,3.6,81,0,19,90,84,82,86,79
51.8,94,29.89,12,300,3.6,78,0,19,81,90,84,82,86
51.8,94,29.86,12,320,3.6,61,0,19,78,81,90,84,82
51.8,94,29.86,12,320,7.2,61,0,19,61,78,81,90,84
50,88,29.86,12,340,7.2,60,0,19,61,61,78,81,90
50,88,29.83,12,340,7.2,62,0,19,60,61,61,78,81
50,88,29.83,12,360,7.2,67,0,19,62,60,61,61,78
50,88,29.83,12,350,7.2,74,0,19,67,62,60,61,61
50,88,29.83,12,340,7.2,85,0,19,74,67,62,60,61
50,88,29.83,12,340,7.2,95,0,19,85,74,67,62,60
50,88,29.83,12,340,7.2,90,0,19,95,85,74,67,62
50,88,29.83,12,340,7.2,98,0,19,90,95,85,74,67
50,82,29.8,13,340,7.2,102,0,19,98,90,95,85,74
50,82,29.8,13,340,10.8,93,0,19,102,98,90,95,85
50,88,29.77,12,320,7.2,97,1,20,93,102,98,90,95
50,88,29.77,12,350,3.6,79,1,20,97,93,102,98,90
51.8,94,29.74,12,350,7.2,76,1,20,79,97,93,102,98
51.8,94,29.71,12,340,10.8,87,1,20,76,79,97,93,102
50,88,29.71,12,360,7.2,80,1,20,87,76,79,97,93
50,88,29.68,12,350,3.6,71,1,20,80,87,76,79,97
50,88,29.68,12,290,3.6,71,1,20,71,80,87,76,79
51.8,94,29.68,12,310,3.6,70,1,20,71,71,80,87,76
50,77,29.68,14,320,7.2,55,1,20,70,71,71,80,87
48.2,67,29.65,15,330,3.6,66,1,20,55,70,71,71,80
48.2,63,29.65,16,340,3.6,58,1,20,66,55,70,71,71
50,56,29.62,19,300,7.2,20,1,20,58,66,55,70,71
42.8,38,29.59,21,290,14.4,9,1,20,20,58,66,55,70
42.8,43,29.56,19,330,14.4,9,1,20,9,20,58,66,55
35.6,27,29.56,22,340,32.4,8,1,20,9,9,20,58,66
35.6,30,29.56,20,340,39.6,18,1,20,8,9,9,20,58
35.6,30,29.56,20,350,43.2,16,1,20,18,8,9,9,20
32,28,29.59,19,360,50.4,19,1,20,16,18,8,9,9
33.8,32,29.62,18,360,32.4,35,1,20,19,16,18,8,9
32,32,29.68,17,340,36,24,1,20,35,19,16,18,8
30.2,31,29.71,16,340,39.6,18,1,20,24,35,19,16,18
30.2,34,29.74,15,340,28.8,25,1,20,18,24,35,19,16
28.4,31,29.77,15,340,32.4,22,1,20,25,18,24,35,19
30.2,36,29.74,14,340,36,6,1,20,22,25,18,24,35
32,38,29.74,14,320,32.4,15,2,21,6,22,25,18,24
30.2,36,29.74,14,350,25.2,17,2,21,15,6,22,25,18
30.2,36,29.74,14,350,25.2,13,2,21,17,15,6,22,25
28.4,33,29.71,14,340,25.2,12,2,21,13,17,15,6,22
26.6,31,29.71,14,360,25.2,10,2,21,12,13,17,15,6
24.8,29,29.71,14,350,28.8,16,2,21,10,12,13,17,15
21.2,25,29.74,14,290,25.2,15,2,21,16,10,12,13,17
21.2,23,29.74,15,310,25.2,8,2,21,15,16,10,12,13
19.4,19,29.74,17,330,32.4,17,2,21,8,15,16,10,12
17.6,16,29.74,18,320,36,18,2,21,17,8,15,16,10
14,13,29.77,19,330,36,14,2,21,18,17,8,15,16
12.2,11,29.74,21,300,36,14,2,21,14,18,17,8,15
12.2,10,29.74,22,320,36,14,2,21,14,14,18,17,8
12.2,10,29.74,22,320,32.4,12,2,21,14,14,14,18,17
14,10,29.74,23,340,32.4,12,2,21,12,14,14,14,18
12.2,10,29.74,22,340,36,9,2,21,12,12,14,14,14
17.6,21,29.86,14,340,7.2,21,2,21,9,12,12,14,14
28.4,50,29.92,8,340,3.6,63,3,22,21,9,12,12,14
28.4,53,29.92,7,360,7.2,76,3,22,63,21,9,12,12
30.2,65,29.95,5,320,10.8,87,3,22,76,63,21,9,12
33.8,70,29.98,6,340,3.6,66,3,22,87,76,63,21,9
39.2,71,30.01,9,300,10.8,111,3,22,66,87,76,63,21
42.8,67,30.04,12,320,10.8,79,3,22,111,66,87,76,63
41,55,30.04,14,330,10.8,79,3,22,79,111,66,87,76
41,51,30.04,15,340,14.4,79,3,22,79,79,111,66,87
41,45,30.01,17,300,14.4,60,3,22,79,79,79,111,66
42.8,43,29.98,19,290,18,55,3,22,60,79,79,79,111
41,40,29.98,19,330,18,67,3,22,55,60,79,79,79
42.8,43,29.95,19,340,21.6,72,3,22,67,55,60,79,79
44.6,43,29.92,20,340,21.6,62,3,22,72,67,55,60,79
41,40,29.92,19,350,25.2,50,3,22,62,72,67,55,60
41,45,29.92,17,360,25.2,46,3,22,50,62,72,67,55
39.2,48,29.92,15,360,25.2,49,3,22,46,50,62,72,67
41,55,29.95,14,340,21.6,42,3,22,49,46,50,62,72
39.2,54,29.98,13,340,14.4,52,3,22,42,49,46,50,62
39.2,58,30.01,12,340,14.4,52,3,22,52,42,49,46,50
37.4,58,30.04,11,340,14.4,40,3,22,52,52,42,49,46
39.2,62,30.04,11,340,14.4,45,3,22,40,52,52,42,49
39.2,62,30.06,11,320,7.2,47,4,23,45,40,52,52,42
39.2,66,30.06,10,350,7.2,56,4,23,47,45,40,52,52
